combination,n_models,strategy,models,weights,holdout_lower_ci,cv_lower_ci,gap
t_learner_ridge+x_learner+hurdle,3,ci_weights,"['t_learner_ridge', 'x_learner', 'hurdle']","{'t_learner_ridge': 0.0, 'x_learner': 0.0, 'hurdle': 0.0}",0.0026,,
t_learner_lgb+x_learner+hurdle,3,ci_weights,"['t_learner_lgb', 'x_learner', 'hurdle']","{'t_learner_lgb': 0.0, 'x_learner': 0.0, 'hurdle': 0.0}",0.0026,,
t_learner_lgb+t_learner_ridge+x_learner,3,ci_weights,"['t_learner_lgb', 't_learner_ridge', 'x_learner']","{'t_learner_lgb': 0.0, 't_learner_ridge': 0.0, 'x_learner': 0.0}",0.0026,,
t_learner_ridge+hurdle,2,ci_weights,"['t_learner_ridge', 'hurdle']","{'t_learner_ridge': 0.0, 'hurdle': 0.0}",0.0026,,
x_learner+hurdle,2,ci_weights,"['x_learner', 'hurdle']","{'x_learner': 0.0, 'hurdle': 0.0}",0.0026,,
dr_learner+r_learner,2,ci_weights,"['dr_learner', 'r_learner']","{'dr_learner': 0.9915958053816762, 'r_learner': 0.008403354282895561}",0.0025,,
all_models,6,ci_weights,"['dr_learner', 't_learner_lgb', 't_learner_ridge', 'x_learner', 'r_learner', 'hurdle']","{'dr_learner': 0.9915958053816762, 't_learner_lgb': 0.0, 't_learner_ridge': 0.0, 'x_learner': 0.0, 'r_learner': 0.008403354282895561, 'hurdle': 0.0}",0.0025,,
dr_learner+r_learner+hurdle,3,ci_weights,"['dr_learner', 'r_learner', 'hurdle']","{'dr_learner': 0.9915958053816762, 'r_learner': 0.008403354282895561, 'hurdle': 0.0}",0.0025,,
dr_learner+t_learner_ridge+r_learner,3,ci_weights,"['dr_learner', 't_learner_ridge', 'r_learner']","{'dr_learner': 0.9915958053816762, 't_learner_ridge': 0.0, 'r_learner': 0.008403354282895561}",0.0025,,
dr_learner+x_learner+r_learner,3,ci_weights,"['dr_learner', 'x_learner', 'r_learner']","{'dr_learner': 0.9915958053816762, 'x_learner': 0.0, 'r_learner': 0.008403354282895561}",0.0025,,
dr_learner+t_learner_lgb+r_learner,3,ci_weights,"['dr_learner', 't_learner_lgb', 'r_learner']","{'dr_learner': 0.9915958053816762, 't_learner_lgb': 0.0, 'r_learner': 0.008403354282895561}",0.0025,,
t_learner_ridge+x_learner+r_learner,3,equal,"['t_learner_ridge', 'x_learner', 'r_learner']","{'t_learner_ridge': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.0022,,
dr_learner+x_learner,2,gap_weights,"['dr_learner', 'x_learner']","{'dr_learner': 0.5014152850788516, 'x_learner': 0.4985847149211484}",0.0021,,
dr_learner+x_learner,2,rank_weights,"['dr_learner', 'x_learner']","{'dr_learner': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.0021,,
x_learner+r_learner,2,gap_weights,"['x_learner', 'r_learner']","{'x_learner': 0.4979757085020243, 'r_learner': 0.5020242914979758}",0.0015,,
x_learner+r_learner,2,equal,"['x_learner', 'r_learner']","{'x_learner': 0.5, 'r_learner': 0.5}",0.0014,,
r_learner+hurdle,2,ci_weights,"['r_learner', 'hurdle']","{'r_learner': 0.9999000099990002, 'hurdle': 0.0}",-0.0022,,
t_learner_lgb+r_learner,2,ci_weights,"['t_learner_lgb', 'r_learner']","{'t_learner_lgb': 0.0, 'r_learner': 0.9999000099990002}",-0.0022,,
r_learner,1,single,['r_learner'],{'r_learner': 1.0},-0.0022,0.0001,0.023
x_learner+r_learner,2,ci_weights,"['x_learner', 'r_learner']","{'x_learner': 0.0, 'r_learner': 0.9999000099990002}",-0.0022,,
t_learner_lgb+t_learner_ridge+r_learner,3,ci_weights,"['t_learner_lgb', 't_learner_ridge', 'r_learner']","{'t_learner_lgb': 0.0, 't_learner_ridge': 0.0, 'r_learner': 0.9999000099990002}",-0.0022,,
t_learner_ridge+r_learner,2,ci_weights,"['t_learner_ridge', 'r_learner']","{'t_learner_ridge': 0.0, 'r_learner': 0.9999000099990002}",-0.0022,,
t_learner_ridge+x_learner+r_learner,3,ci_weights,"['t_learner_ridge', 'x_learner', 'r_learner']","{'t_learner_ridge': 0.0, 'x_learner': 0.0, 'r_learner': 0.9999000099990002}",-0.0022,,
t_learner_lgb+r_learner+hurdle,3,ci_weights,"['t_learner_lgb', 'r_learner', 'hurdle']","{'t_learner_lgb': 0.0, 'r_learner': 0.9999000099990002, 'hurdle': 0.0}",-0.0022,,
t_learner_ridge+r_learner+hurdle,3,ci_weights,"['t_learner_ridge', 'r_learner', 'hurdle']","{'t_learner_ridge': 0.0, 'r_learner': 0.9999000099990002, 'hurdle': 0.0}",-0.0022,,
t_learner_lgb+x_learner+r_learner,3,ci_weights,"['t_learner_lgb', 'x_learner', 'r_learner']","{'t_learner_lgb': 0.0, 'x_learner': 0.0, 'r_learner': 0.9999000099990002}",-0.0022,,
x_learner+r_learner+hurdle,3,ci_weights,"['x_learner', 'r_learner', 'hurdle']","{'x_learner': 0.0, 'r_learner': 0.9999000099990002, 'hurdle': 0.0}",-0.0022,,
dr_learner+r_learner,2,rank_weights,"['dr_learner', 'r_learner']","{'dr_learner': 0.6666666666666666, 'r_learner': 0.3333333333333333}",-0.0026,,
dr_learner+r_learner,2,equal,"['dr_learner', 'r_learner']","{'dr_learner': 0.5, 'r_learner': 0.5}",-0.0034,,
dr_learner+r_learner,2,gap_weights,"['dr_learner', 'r_learner']","{'dr_learner': 0.4993909866017052, 'r_learner': 0.5006090133982948}",-0.0046,,
