combination,n_models,strategy,models,weights,holdout_lower_ci,cv_lower_ci,gap
dr_learner+t_learner_lgb+t_learner_ridge,3,ci_weights,"['dr_learner', 't_learner_lgb', 't_learner_ridge']","{'dr_learner': 0.4461026091995238, 't_learner_lgb': 0.42266896370659884, 't_learner_ridge': 0.1312284147603797}",0.4331,,
x_learner+r_learner,2,rank_weights,"['x_learner', 'r_learner']","{'r_learner': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.4329,,
t_learner_ridge+r_learner+hurdle,3,equal,"['t_learner_ridge', 'r_learner', 'hurdle']","{'t_learner_ridge': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.4324,,
t_learner_lgb+t_learner_ridge+r_learner,3,equal,"['t_learner_lgb', 't_learner_ridge', 'r_learner']","{'t_learner_lgb': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.4318,,
dr_learner+x_learner+r_learner,3,ci_weights,"['dr_learner', 'x_learner', 'r_learner']","{'dr_learner': 0.3428760987498711, 'x_learner': 0.3180396215940884, 'r_learner': 0.3390842701764692}",0.4317,,
x_learner+r_learner,2,gap_weights,"['x_learner', 'r_learner']","{'x_learner': 0.5016949152542373, 'r_learner': 0.4983050847457628}",0.4316,,
t_learner_ridge+x_learner+r_learner,3,ci_weights,"['t_learner_ridge', 'x_learner', 'r_learner']","{'t_learner_ridge': 0.13306653160246956, 'x_learner': 0.4195847871487645, 'r_learner': 0.44734866874251283}",0.4316,,
dr_learner+x_learner,2,gap_weights,"['dr_learner', 'x_learner']","{'dr_learner': 0.4953664700926707, 'x_learner': 0.5046335299073295}",0.4315,,
x_learner+r_learner,2,equal,"['x_learner', 'r_learner']","{'x_learner': 0.5, 'r_learner': 0.5}",0.4313,,
dr_learner+x_learner,2,ci_weights,"['dr_learner', 'x_learner']","{'dr_learner': 0.5187894360471969, 'x_learner': 0.4812105496097167}",0.4311,,
dr_learner+x_learner,2,equal,"['dr_learner', 'x_learner']","{'dr_learner': 0.5, 'x_learner': 0.5}",0.4311,,
dr_learner,1,single,['dr_learner'],{'dr_learner': 1.0},0.4307,0.3617,0.019799999999999984
dr_learner+x_learner+r_learner,3,equal,"['dr_learner', 'x_learner', 'r_learner']","{'dr_learner': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.4307,,
dr_learner+t_learner_ridge+r_learner,3,ci_weights,"['dr_learner', 't_learner_ridge', 'r_learner']","{'dr_learner': 0.43799951031727397, 't_learner_ridge': 0.12884475503941925, 'r_learner': 0.43315572253383716}",0.4305,,
x_learner+r_learner,2,ci_weights,"['x_learner', 'r_learner']","{'x_learner': 0.48398729826908105, 'r_learner': 0.516012687305068}",0.4303,,
dr_learner+t_learner_ridge+x_learner,3,ci_weights,"['dr_learner', 't_learner_ridge', 'x_learner']","{'dr_learner': 0.45009954641488864, 't_learner_ridge': 0.1324041795370311, 'x_learner': 0.4174962616040783}",0.4303,,
dr_learner+x_learner,2,rank_weights,"['dr_learner', 'x_learner']","{'dr_learner': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.4302,,
t_learner_lgb+x_learner,2,equal,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.5, 'x_learner': 0.5}",0.4301,,
t_learner_lgb+x_learner,2,rank_weights,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.4297,,
dr_learner+r_learner,2,ci_weights,"['dr_learner', 'r_learner']","{'dr_learner': 0.5027800875343329, 'r_learner': 0.4972198985651946}",0.4296,,
t_learner_ridge+r_learner,2,ci_weights,"['t_learner_ridge', 'r_learner']","{'t_learner_ridge': 0.22926093020338437, 'r_learner': 0.7707390482495358}",0.4296,,
dr_learner+r_learner,2,equal,"['dr_learner', 'r_learner']","{'dr_learner': 0.5, 'r_learner': 0.5}",0.4292,,
dr_learner+t_learner_ridge,2,ci_weights,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.7726981249156564, 't_learner_ridge': 0.22730185372138742}",0.429,,
dr_learner+r_learner,2,gap_weights,"['dr_learner', 'r_learner']","{'dr_learner': 0.4970612930310662, 'r_learner': 0.5029387069689336}",0.429,,
dr_learner+r_learner,2,rank_weights,"['dr_learner', 'r_learner']","{'dr_learner': 0.6666666666666666, 'r_learner': 0.3333333333333333}",0.4287,,
t_learner_ridge+hurdle,2,rank_weights,"['t_learner_ridge', 'hurdle']","{'hurdle': 0.6666666666666666, 't_learner_ridge': 0.3333333333333333}",0.4283,,
